sr,items,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Month,Profit/item,,,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Profit/item
46,Cadbury Celebrations,32,50.00,43.40,"1,388.80",28,1400.00,11.20,July,6.60,,,,,,,,,,
47,Cadbury Celebrations,16,50.00,43.40,694.40,16,800.00,105.60,May,6.60,,,,,,,,,,
48,Cadbury Celebrations,8,160.00,138.88,"1,111.00",5,800.00,-311.00,Jan,21.12,,,,,,,,,,
49,Saffola Oats,8,235.00,184.15,"1,473.20",7,1645.00,171.80,April,50.85,,,,,,,,,,
50,Dove Moisture,3,190.00,147.03,441.10,3,570.00,128.90,March,42.97,,,,,,,,,,
51,Cookies,24,10.00,8.43,202.30,17,170.00,-32.30,Jan,1.57,,,,,,,,,,
52,Parle Candy,6,60.00,38.00,228.00,6,360.00,132.00,April,22.00,,,,,,,,,,
53,Cadbury Celebrations,4,160.00,138.88,555.50,4,640.00,84.50,March,21.12,,,,,,,,,,
54,Bikaji Bhujia 200g,3,80.00,43.50,130.50,3,240.00,109.50,Oct,36.50,,,,,,,,,,
55,Surf ExceL Detergent,2,390.00,329.00,658.00,2,780.00,122.00,Oct,61.00,,,,,,,,,,
56,Patanjali Facewash,1,350.00,278.90,278.90,1,350.00,71.10,June,71.10,,,,,,,,,,
57,Cookies,24,10.00,8.43,202.30,20,200.00,-2.30,May,1.57,,,,,,,,,,
58,Bikaji Bhujia 200g,1,80.00,42.00,42.00,1,80.00,38.00,Dec,38.00,,,,,,,,,,
59,Parachute Coconut Oil,10,47.00,39.95,399.50,9,423.00,23.50,Nov,7.05,,,,,,,,,,
60,Parachute Coconut Oil,5,82.00,70.60,353.00,5,410.00,57.00,Feb,11.40,,,,,,,,,,
61,Brooke Bond Red Label Tea,3,130.00,116.11,348.30,3,390.00,41.70,Oct,13.89,,,,,,,,,,
62,Taj Mahal Tea,3,175.00,161.75,485.20,3,525.00,39.80,Sept,13.25,,,,,,,,,,
63,Dettol Soap,4,175.00,156.00,624.00,4,700.00,76.00,March,19.00,,,,,,,,,,
64,Ayur Herbals Cream,4,270.00,200.48,801.90,4,1080.00,278.10,Dec,69.53,,,,,,,,,,
65,Ayur Herbals Cream,4,150.00,110.82,443.30,4,600.00,156.70,March,39.18,,,,,,,,,,
66,Eveready cell,2,156.00,77.22,154.40,2,312.00,157.60,June,78.78,,,,,,,,,,
67,Vim Dishwash Bar,6,60.00,52.78,316.60,6,360.00,43.40,Sept,7.23,,,,,,,,,,
68,Vaseline,3,435.00,246.11,738.30,3,1305.00,566.70,August,188.89,,,,,,,,,,
69,Parachute Coconut Oil,5,85.00,73.18,365.90,5,425.00,59.10,May,11.82,,,,,,,,,,
70,Vaseline,6,54.00,45.84,275.00,5,270.00,-5.00,July,8.16,,,,,,,,,,
71,Taj Mahal Tea,3,180.00,164.71,494.10,3,540.00,45.90,Nov,15.29,,,,,,,,,,
72,Parachute Coconut Oil,6,49.00,41.65,249.90,6,294.00,44.10,Oct,7.35,,,,,,,,,,
73,Parachute Coconut Oil,5,85.00,73.18,365.90,5,425.00,59.10,August,11.82,,,,,,,,,,
74,Parachute Coconut Oil,3,235.00,204.11,612.30,3,705.00,92.70,Nov,30.89,,,,,,,,,,
75,Bikano Bikaneri Bhujia,4,60.00,49.20,196.80,4,240.00,43.20,March,10.80,,,,,,,,,,
76,Sunsilk Shampoo,1,960.00,730.00,730.00,1,960.00,230.00,Dec,230.00,,,,,,,,,,
77,Himalaya Facewash,6,150.00,103.21,619.30,6,900.00,280.70,July,46.79,,,,,,,,,,
78,Dettol Soap,4,165.00,145.14,580.60,4,660.00,79.40,Oct,19.86,,,,,,,,,,
79,Dettol Soap,5,80.00,70.40,352.00,5,400.00,48.00,Nov,9.60,,,,,,,,,,
80,Surf Excel Detergent,12,136.00,120.15,"1,441.80",9,1224.00,-217.80,Nov,15.85,,,,,,,,,,
81,Parachute Coconut Oil,15,77.00,64.00,960.00,11,847.00,-113.00,Jan,13.00,,,,,,,,,,
